,Rows are starting from left and going up the stairs to the right & Colums are back to front,,,,,,,,,,,,,,,,,,,
,Row 1,Row 2,Row 3,Row 4,Row 5,Row 6,Row 7,Row 8,Row 9,SPACE,Row 10 ,Row 11,Row 12,Row 13,Row 14,Row 15,Row 16,Row 17,Row 18,Totals
Count,45,43,42,51,40,34,,,,,,,,,,,,,,255
Empty,9,11,12,3,14,20,,,,,,,,,,,,,,69
Column 1,,,,,,,,,,,,,,,,,,,,
Column 2,,,,,,,,,,,,,,,,,,,,
Column 3,,,,,,,,,,,,,,,,,,,,
Column 4,,,,,,,,,,,,,,,,,,,,
Column 5,,,,,,,,,,,,,,,,,,,,
Column 6,,,,,,,,,,,,,,,,,,,,
Column 7,,,,,,,,,,,,,,,,,,,,
Column 8,,,,,,,,,,,,,,,,,,,,
Column9,,,,,,,,,,,,,,,,,,,,
Column 10,,,,,,,,,,,,,,,,,,,,
Column 11,,,,,,,,,,,,,,,,,,,,
Column 12,,,,,,,,,,,,,,,,,,,,
Column 13,,,,,,,,,,,,,,,,,,,,
Column 14,,,,,,,,,,,,,,,,,,,,
Column 15,,,,,,,,,,,,,,,,,,,,
Column 16,,,,,,,,,,,,,,,,,,,,
Column 17,,,,,,,,,,,,,,,,,,,,
Column 18,,,,,,,,,,,,,,,,,,,,
Column 19,,,,,,,,,,,,,,,,,,,,